Marquez Valdes-Scantling,GB,WR,16,122.73,72%,-,217,0,0,0,29,0,2,38,581,2,23,21,0,0,0
Alex Collins,Bal,RB,10,121.10,0%,-,218,0,0,0,411,7,22,15,105,1,6,0,0,0,3
Royce Freeman,Den,RB,14,120.90,74%,-,219,0,0,0,521,5,30,14,72,0,2,0,0,0,1
Josh Rosen,Mia,QB,14,120.92,1%,-,220,2278,11,14,138,0,8,0,0,0,0,0,0,1,5
Josh Reynolds,LAR,WR,16,120.60,0%,-,221,0,0,0,8,0,1,29,402,5,23,0,0,0,0
Will Fuller V,Hou,WR,7,120.53,63%,-,222,0,0,0,0,0,0,32,503,4,23,0,0,0,0
Devontae Booker,Den,RB,16,120.03,0%,-,223,0,0,0,183,1,11,38,275,0,9,234,0,0,1
Dante Pettis,SF,WR,12,119.63,15%,-,224,0,0,0,-2,0,0,27,467,5,19,27,0,0,0
Tre'Quan Smith,NO,WR,15,119.47,4%,-,225,0,0,0,0,0,0,28,427,5,23,0,0,0,0
Seth Roberts,Bal,WR,15,119.43,0%,-,226,0,0,0,5,0,1,45,494,2,24,0,0,0,0
Alfred Blue,Jax,RB,16,118.47,0%,-,228,0,0,0,499,2,25,20,154,0,4,13,0,0,0
C.J. Uzomah,Cin,TE,16,117.27,1%,-,229,0,0,0,0,0,0,43,439,3,21,0,0,0,0
David Moore,Sea,WR,16,116.97,1%,-,230,0,0,0,5,0,0,26,445,5,19,18,0,0,0
Chris Hogan,Car,WR,16,116.47,0%,-,231,0,0,0,0,0,0,35,532,3,22,0,0,0,0
Carlos Hyde,Hou,RB,14,114.30,85%,-,232,0,0,0,571,5,27,10,33,0,0,0,0,0,1
Cameron Brate,TB,TE,16,113.27,14%,-,234,0,0,0,0,0,0,30,289,6,18,0,0,0,1
Damien Williams,KC,RB,16,113.27,77%,-,235,0,0,0,256,4,15,23,160,2,9,0,0,0,1
DeAndre Carter,Hou,WR,14,112.50,1%,-,238,0,0,0,7,0,0,22,216,0,10,674,0,0,1
Jaylen Samuels,Pit,RB,14,111.87,18%,-,240,0,0,0,256,0,13,26,199,3,10,0,0,0,0
Ito Smith,Atl,RB,14,111.63,9%,-,241,0,0,0,315,4,18,27,152,0,9,0,0,0,0
Jarius Wright,Car,WR,16,110.70,0%,-,242,0,0,0,39,0,1,43,447,1,25,0,0,1,1
Dwayne Harris,Oak,WR,15,110.27,0%,-,243,0,0,0,12,0,1,6,40,0,1,944,1,0,0
Chris Conley,Jax,WR,16,108.77,2%,-,245,0,0,0,0,0,0,32,334,5,18,5,0,0,2
Robert Foster,Buf,WR,13,107.07,1%,-,246,0,0,0,0,0,0,27,541,3,20,0,0,0,0
Giovani Bernard,Cin,RB,12,107.13,6%,-,247,0,0,0,211,3,14,35,218,0,8,25,0,0,0
Zach Pascal,Ind,WR,16,106.57,10%,-,248,0,0,0,10,0,0,27,268,2,15,297,0,0,0
Javorius Allen,NYG,RB,14,106.07,0%,-,249,0,0,0,110,3,10,35,196,2,11,0,0,0,1
Michael Gallup,Dal,WR,16,105.80,81%,-,250,0,0,0,0,0,0,33,507,2,21,0,0,1,0
Chris Thompson,Was,RB,10,105.67,28%,-,251,0,0,0,178,0,9,41,268,1,12,0,0,0,0
John Ross III,Cin,WR,13,104.90,9%,-,252,0,0,0,9,0,0,21,210,7,13,0,0,0,0
